Day,Date,R(t)
0,5-Mar,3858
1,6-Mar,4636
2,7-Mar,5883
3,8-Mar,7375
4,9-Mar,9172
5,10-Mar,10149
6,11-Mar,12462
7,12-Mar,15113
8,13-Mar,17660
9,14-Mar,21157
10,15-Mar,24747
11,16-Mar,27980
12,17-Mar,31506
13,18-Mar,35713
14,19-Mar,41035
15,20-Mar,47021
16,21-Mar,53578
17,22-Mar,59138
18,23-Mar,63927
19,24-Mar,69176
20,25-Mar,74386
21,26-Mar,80539
22,27-Mar,86498
23,28-Mar,92472
24,29-Mar,97689
25,30-Mar,101739
26,31-Mar,105792
27,1-Apr,110574
28,2-Apr,115242
29,3-Apr,119827
30,4-Apr,124632
31,5-Apr,128948
32,6-Apr,132547
33,7-Apr,135586
34,8-Apr,139422
35,9-Apr,143626
36,10-Apr,147577
37,11-Apr,152271
38,12-Apr,156363
39,13-Apr,159516
40,14-Apr,162488
41,15-Apr,165155
42,16-Apr,168941
43,17-Apr,172434
44,18-Apr,175925
45,19-Apr,178972
46,20-Apr,181228
47,21-Apr,183957
48,22-Apr,187327
49,23-Apr,189973
50,24-Apr,192994
51,25-Apr,195351
52,26-Apr,197675
53,27-Apr,199414
54,28-Apr,201505
55,29-Apr,203591
56,30-Apr,205463
57,1-May,207428
58,2-May,209328
59,3-May,210717
60,4-May,211938
61,5-May,213013
62,6-May,214457
63,7-May,215858
64,8-May,217185
65,9-May,218268
66,10-May,219070
67,11-May,219814
68,12-May,221216
69,13-May,222104
70,14-May,223096
71,15-May,223885
